day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d
106 16    40.9 0.000E+00  97 0.106E-01 0.106E-01 -.137E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    40.9 0.000E+00  96 0.788E-02 0.798E-02 -.164E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    51.2 0.000E+00  98 0.987E-02 0.988E-02 -.113E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    51.2 0.000E+00  97 0.106E-01 0.106E-01 -.138E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    51.2 0.000E+00  96 0.798E-02 0.808E-02 -.171E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    61.5 0.000E+00  98 0.988E-02 0.989E-02 -.114E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    61.5 0.000E+00  97 0.106E-01 0.106E-01 -.138E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    61.5 0.000E+00  96 0.808E-02 0.824E-02 -.181E-04 0.361E+03   0.085 0.324E+02 0.101E-02

106 16    77.0 0.000E+00  98 0.989E-02 0.990E-02 -.114E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    77.0 0.000E+00  97 0.106E-01 0.106E-01 -.139E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    77.0 0.000E+00  96 0.824E-02 0.839E-02 -.191E-04 0.361E+03   0.085 0.324E+02 0.101E-02

106 16    92.5 0.000E+00  98 0.990E-02 0.991E-02 -.114E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    92.5 0.000E+00  97 0.106E-01 0.107E-01 -.140E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    92.5 0.000E+00  96 0.839E-02 0.862E-02 -.208E-04 0.361E+03   0.085 0.324E+02 0.101E-02

106 16   115.8 0.000E+00  98 0.991E-02 0.992E-02 -.115E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16   115.8 0.000E+00  97 0.107E-01 0.107E-01 -.140E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16   115.8 0.000E+00  96 0.862E-02 0.885E-02 -.225E-04 0.361E+03   0.085 0.324E+02 0.101E-02

106 16   139.0 0.000E+00  98 0.992E-02 0.992E-02 -.115E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16   139.0 0.000E+00  97 0.107E-01 0.107E-01 -.141E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   139.0 0.000E+00  96 0.885E-02 0.919E-02 -.252E-04 0.361E+03   0.086 0.324E+02 0.101E-02

106 16   173.9 0.000E+00  98 0.992E-02 0.992E-02 -.115E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16   173.9 0.000E+00  97 0.107E-01 0.107E-01 -.142E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   173.9 0.000E+00  96 0.919E-02 0.953E-02 -.281E-04 0.361E+03   0.086 0.324E+02 0.101E-02

106 16   208.8 0.000E+00  98 0.992E-02 0.991E-02 -.114E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16   208.8 0.000E+00  97 0.107E-01 0.108E-01 -.143E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   208.8 0.000E+00  96 0.953E-02 0.100E-01 -.327E-04 0.362E+03   0.087 0.325E+02 0.101E-02

106 16   261.1 0.000E+00  98 0.991E-02 0.990E-02 -.114E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16   261.1 0.000E+00  97 0.108E-01 0.108E-01 -.144E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   261.1 0.000E+00  96 0.100E-01 0.105E-01 -.378E-04 0.362E+03   0.088 0.325E+02 0.101E-02

106 16   313.4 0.000E+00  98 0.990E-02 0.987E-02 -.113E-03 0.206E+03   0.197 0.118E+03 0.101E-02

